box_set_slug,category_name,card_number,player_name,team,position,rookie_card,variation_name,print_run,is_numbered,is_autograph,is_relic,is_case_hit,circulation_status,current_value,value_source,image_url,notes,_needs_review,_source_notes
2023-topps-chrome-baseball-hobby,Base,62,Aaron Judge,,,False,Base,,False,False,False,,,2.49,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Aqua Lava,199,True,False,False,,,30.0,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Aqua,199,True,False,False,,,30.43,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Blue Logofractor,,False,False,False,,,,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Blue Sonar,125,True,False,False,,,50.35,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Blue Wave,75,True,False,False,,,98.67,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Blue,150,True,False,False,,,67.89,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Gold Logofractor,,False,False,False,,,,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Gold Wave,50,True,False,False,,,97.49,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Gold,50,True,False,False,,,165.99,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Green Logofractor,,False,False,False,,,,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Green Sonar,99,True,False,False,,,77.98,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Green Wave,99,True,False,False,,,65.0,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Green,99,True,False,False,,,57.97,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Blue,,False,False,False,,,56.51,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Gold,,False,False,False,,,60.0,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Green,,False,False,False,,,57.61,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Orange,,False,False,False,,,194.59,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Pink,,False,False,False,,,30.18,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Purple,,False,False,False,,,28.75,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Red,,False,False,False,,,550.71,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Rose Gold,,False,False,False,,,,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor Yellow,,False,False,False,,,45.75,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Logofractor,,False,False,False,,,12.32,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Magenta Speckle,350,True,False,False,,,20.99,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Magenta,399,True,False,False,,,21.78,sportscardspro,,,,
2023-topps-chrome-baseball-hobby,Numbered Refractor,62,Aaron Judge,,,False,Negative,,False,False,False,,,26.02,sportscardspro,,,,
