box_set_slug,category_name,card_number,player_name,rookie_card,variation_name,print_run,is_numbered,is_autograph,is_relic,is_case_hit,insert_set_name,circulation_status,current_value,value_source,image_url,notes,_needs_review,_source_notes
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Blue Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Gold Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Green Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Orange Logofractor,,FALSE,FALSE,FALSE,FALSE,,,194.33,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Pink Logofractor,,FALSE,FALSE,FALSE,FALSE,,,30.18,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Purple Logofractor,,FALSE,FALSE,FALSE,FALSE,,,28.75,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Red Logofractor,,FALSE,FALSE,FALSE,FALSE,,,550.54,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Rose Gold Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Yellow Logofractor,,FALSE,FALSE,FALSE,FALSE,,,45.75,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Logofractor,,FALSE,FALSE,FALSE,FALSE,,,11.75,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Blue Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Gold Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Green Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Logofractor Gimmick Autograph,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Orange Logofractor,,FALSE,FALSE,FALSE,FALSE,,,237.50,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Pink Logofractor,,FALSE,FALSE,FALSE,FALSE,,,27.43,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Purple Logofractor,,FALSE,FALSE,FALSE,FALSE,,,29.55,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Red Logofractor,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Rose Gold Logofractor Gimmicks Variation,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Rose Gold Logofractor,,FALSE,FALSE,FALSE,FALSE,,,37.99,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
2023-topps-chrome-baseball,Refractor,1,Adley Rutschman,TRUE,Logofractor SP Variation Autograph,,FALSE,FALSE,FALSE,FALSE,,,49.95,sportscardspro,,,FALSE,2023_Topps_Chrome.csv
